Date,Forecast Total guest nights,Lower_CI Total guest nights,Upper_CI Total guest nights,Forecast International guest nights,Lower_CI International guest nights,Upper_CI International guest nights,Forecast Domestic guest nights,Lower_CI Domestic guest nights,Upper_CI Domestic guest nights
2025-07-31,8582139.719020694,5196587.516793876,14173362.752594123,2176838.5551627837,1363883.8828019644,3474361.469056961,6187096.791569052,3663158.7545245294,10450042.581953306
2025-08-31,8633944.84227284,3809221.422319904,19569615.195291895,2073745.6174269044,933678.7861113115,4605887.5468650805,6240695.4862441495,2686961.8581319517,14494539.747205036
2025-09-30,8608474.514920173,3165868.6558312196,23407738.02503676,2024096.4860433915,683489.9086231121,5994183.533135192,6212281.917454363,2223211.317234308,17358871.451059725
2025-10-31,8620968.610041281,2670908.7635924737,27826141.998290833,1999745.0006348945,525041.4582056307,7616495.541483656,6227297.744327953,1869529.9289716769,20742768.77725037
2025-11-30,8614832.938336,2316686.6552769826,32035117.595317274,1987692.0156279865,417710.7137772503,9458492.487408277,6219349.220346202,1616806.0871290225,23923890.397584915
2025-12-31,8617844.42125595,2032525.2881906384,36539383.57582029,1981699.1040120563,341048.1904132714,11514863.75450249,6223553.061227497,1414451.8292317134,27383467.965917863
2026-01-31,8616365.939245485,1804790.0501805258,41135940.595176004,1978712.5748156179,283977.1302257899,13787354.413765686,6221328.697603974,1252780.047668828,30895216.70648687
2026-02-28,8617091.701004254,1615321.582612271,45968703.59002557,1977222.569347116,240093.93703053243,16282779.018324986,6222505.381049254,1118502.497736571,34617311.99057403
2026-03-31,8616735.413659733,1456079.7206764128,50991778.07389501,1976478.7717344433,205479.0126931447,19011445.59704293,6221882.837980086,1005936.2432703428,38483352.46195545
2026-04-30,8616910.314875996,1319952.4576148447,56252861.69002983,1976107.3695338222,177611.81678095815,21986049.099962547,6222212.181853617,909889.0251101584,42550126.8308284
2026-05-31,8616824.454640035,1202465.4791716188,61747816.67462099,1975921.8902174416,154801.65730454735,25220956.67648402,6222037.942833089,827172.8066438559,46802458.52565556
2026-06-30,8616866.603708465,1100043.4755627057,67497640.18569764,1975829.2547860292,135873.12923325325,28731776.106928412,6222130.122041877,755198.2568336662,51264503.49938565
