Date,Total guest nights,International guest nights,Domestic guest nights
2025-07-31,10073864,3089042,6977819
2025-08-31,9369820,2839924,6501941
2025-09-30,10183288,3045508,7089794
2025-10-31,12144300,3786214,8284276
2025-11-30,13765430,5184926,8461889
2025-12-31,16255643,6026849,10071018
2026-01-31,20059948,6727506,13144485
2026-02-28,15678094,6175717,9311673
2026-03-31,15195072,5818371,9192884
2026-04-30,13527216,4504261,8889655
2026-05-31,9576292,2759934,6742872
2026-06-30,8577912,2277631,6245577
